,Customer_id,Interaction,City,State,County,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Responses,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening
10,J980369,89490f4b-765f-431a-b302-580aae7db71a,Little Meadows,PA,Susquehanna,555,Urban,America/New_York,"Teacher, special educational needs",7.0,23.0,Regular High School Diploma,Full Time,33186.785,Separated,Female,No,11.83511269,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.26726194,177.451599,2728.7678690000002,4,4,4,7,3,3,3,4
11,E243720,c32b8522-d62a-49b1-a77a-e0534cb1378b,Corozal,PR,Corozal,33372,Rural,America/Puerto_Rico,Maintenance engineer,2.0,56.0,Bachelor's Degree,Full Time,18342.12,Married,Female,No,5.08282075,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,36.19603,148.36408740000002,1180.588788,4,4,3,4,4,4,3,4
12,F139569,4828f66e-5592-4c61-bbf4-313cf8731f1c,Conesville,IA,Muscatine,556,Rural,America/Chicago,"Engineer, broadcasting (operations)",0.0,83.0,Master's Degree,Retired,83671.08,Divorced,Male,No,7.265960814,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,136.4312394,1196.3880179999999,1,2,1,4,3,2,3,3
13,X44200,780992d3-d758-4152-aceb-5d59edda3d15,East Livermore,ME,Androscoggin,0,Urban,America/New_York,Learning disability nurse,5.0,53.0,No Schooling Completed,Retired,115114.57,Separated,Female,No,6.568343833999999,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),16.87922024,185.65929419999998,1948.694497,5,6,5,2,4,5,4,4
14,H68068,8dc7ad15-2f59-4c77-9640-6f2c0000b3fc,Hillside,IL,Cook,8165,Urban,America/Chicago,Automotive engineer,1.0,30.0,Associate's Degree,Full Time,64256.81,Separated,Male,Yes,12.63069124,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),10.06019902,160.80554180000001,3382.4240000000004,3,3,4,2,3,4,4,2
15,A403906,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,Saint Germain,WI,Vilas,2093,Suburban,America/Chicago,Amenity horticulturist,1.0,39.0,Bachelor's Degree,Full Time,89061.45,Divorced,Male,Yes,9.48221912,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,176.3345094,1840.0144670000002,3,3,3,2,4,3,5,2
16,V847470,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,Modesto,CA,Stanislaus,50079,Urban,America/Los_Angeles,Applications developer,1.0,63.0,"Some College, 1 or More Years, No Degree",Retired,31659.3,Married,Female,Yes,14.42916512,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3
17,F721878,5c3548de-4744-4167-9412-3f018262bab2,Parkton,NC,Robeson,7249,Rural,America/New_York,Immunologist,1.0,60.0,"9th Grade to 12th Grade, No Diploma",Retired,44142.81,Separated,Male,Yes,10.21790303,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,36.19603,203.06959730000003,882.0985933000001,2,2,4,3,3,4,3,3
18,F487435,200fad69-1e40-4de6-9222-df84d8925000,Oakland,TN,Fayette,9463,Rural,America/Chicago,"Engineer, electrical",3.0,61.0,Regular High School Diploma,Full Time,39262.14,Widowed,Female,No,11.10106846,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5
19,B561228,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,Trafford,AL,Blount,3177,Rural,America/Chicago,Broadcast presenter,3.0,23.0,Associate's Degree,Part Time,19494.75,Divorced,Male,Yes,11.08853215,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3
20,X325271,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,Kaneville,IL,Kane,69,Rural,America/Chicago,Counsellor,4.0,53.0,Nursery School to 8th Grade,Retired,39624.21,Never Married,Male,No,12.18669792,14,0,3,,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3
21,I282896,69fbc82f-1ea2-47a2-a056-d6f8d428b687,Columbus,OH,Franklin,14440,Suburban,America/New_York,Geophysical data processor,3.0,30.0,Regular High School Diploma,Retired,33186.785,Divorced,Male,No,6.520830557999999,18,1,0,No,Two Year,No,Yes,Fiber Optic,,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),2.415991977,127.03177659999999,594.1054279,5,5,4,4,3,4,3,5
22,I367206,1937a759-91b7-4390-80f1-6f8e7d81e058,Mallard,IA,Palo Alto,381,Urban,America/Chicago,"Designer, multimedia",1.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,27442.03,Widowed,Male,No,9.970974396,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.652298992,125.56230179999999,713.0633088,3,3,3,2,2,3,5,5
23,N37182,ab3bfaf3-94f1-4a14-b577-0e57178a7645,Baileyville,ME,Washington,2193,Urban,America/New_York,Event organiser,2.0,68.0,Bachelor's Degree,Full Time,79699.62,Divorced,Male,No,7.490198816,9,0,0,,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.543717478,150.3295122,945.3802927999999,4,4,3,5,3,4,4,3
24,U644626,30a2f575-54cc-4894-96b8-358317896f43,Williamsburg,OH,Clermont,9434,Rural,America/New_York,Equality and diversity officer,3.0,75.0,Regular High School Diploma,Full Time,28520.32,Widowed,Female,Yes,14.54825704,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.770390256000001,163.31240549999998,870.7639800000001,3,3,4,2,4,4,3,4
25,A766555,44c6b2bd-74ee-4c80-9b9f-67b544d1e06a,Saint Augustine,FL,St. Johns,29568,Suburban,America/New_York,Counsellor,1.0,77.0,GED or Alternative Credential,Full Time,12558.83,Separated,Male,Yes,11.37952059,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.157658837,94.06699355,774.2937069,4,4,4,4,2,4,5,5
26,V54032,eba9d80f-e4e6-4905-81ab-5f5f2a49cc88,Tohatchi,NM,McKinley,3089,Rural,America/Denver,Psychiatrist,1.0,47.0,Bachelor's Degree,Retired,8762.23,Married,Female,Yes,16.1723942,15,0,1,,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.40566091,222.9597637,1506.446527,5,3,5,3,3,5,4,4
27,Z301326,f4ba5aef-80af-43fe-a8cb-0592f3013d6b,Erie,MI,Monroe,5652,Urban,America/Detroit,"Surveyor, commercial/residential",1.0,70.0,Master's Degree,Part Time,43882.72,Widowed,Female,Yes,15.8467065,12,0,0,,Month-to-month,Yes,No,None,,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.3924215969999998,141.092117,419.0508708,2,2,3,4,4,2,2,2
28,J887250,a49a3cbf-182c-49f5-b15f-e124582d2c8f,Moretown,VT,Washington,1716,Urban,America/New_York,Civil Service administrator,3.0,53.0,Regular High School Diploma,Full Time,33186.785,Separated,Female,Yes,43.92705189,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),36.19603,230.62376459999996,1259.415493,3,4,3,3,2,4,4,2
29,Z686376,cddc4b08-7aae-4194-a75c-28bbcc8257f3,Silver Spring,MD,Montgomery,52484,Suburban,America/New_York,"Radiographer, diagnostic",4.0,69.0,Bachelor's Degree,Student,33186.785,Never Married,Male,Yes,12.35437248,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.425864884,259.3879183,1745.1259559999999,4,4,4,3,2,5,5,4
30,L357432,79b827eb-46b9-4737-8484-0b670171bc4b,Whitesboro,NY,Oneida,11268,Urban,America/New_York,Air traffic controller,9.0,45.0,No Schooling Completed,Part Time,43383.54,Married,Male,No,7.472844182,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),11.08287797,230.9648914,1795.465729,3,2,1,5,3,3,3,2
31,V899967,5cffec4f-2316-4f97-b0d6-106888164492,Sherwood,OH,Defiance,1765,Rural,America/New_York,Dietitian,1.0,40.0,"9th Grade to 12th Grade, No Diploma",Unemployed,21793.88,Never Married,Female,No,4.776157747,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,,No,No,No,Electronic Check,36.19603,147.8152871,492.4771472,2,3,4,3,3,2,4,3
32,G571225,c7c6fcb5-eb79-438e-bf66-179ac491274e,Pe Ell,WA,Lewis,680,Rural,America/Los_Angeles,"Therapist, occupational",6.0,82.0,GED or Alternative Credential,Retired,51960.51,Divorced,Female,Yes,8.913416857,9,0,0,,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,4.727388465,230.2438882,1013.993166,4,4,4,5,2,5,3,5
33,S381541,a81aaffc-186f-46d1-8378-ad11bcedde9c,Seney,MI,Schoolcraft,136,Rural,America/Detroit,Building services engineer,5.0,53.0,Regular High School Diploma,Full Time,33186.785,Separated,Male,Yes,11.99819427,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.89923386,175.8247451,3382.4240000000004,5,5,4,3,5,3,4,1
34,R195593,fd1b0111-3d91-460d-b26b-d52008c383f8,Chatsworth,IL,Livingston,1517,Urban,America/Chicago,Information officer,1.0,53.0,Bachelor's Degree,Full Time,11211.59,Widowed,Male,Yes,5.312361826,15,1,0,No,One year,Yes,No,Fiber Optic,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.471329958,267.4362279,1081.8143619999998,6,5,5,5,2,6,5,5
35,I327596,c329889a-43ac-4d20-98f3-50d1c4c527fb,Albion,MI,Calhoun,14103,Suburban,America/Detroit,Outdoor activities/education manager,1.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,8283.29,Never Married,Male,Yes,13.92937482,11,0,1,,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.478588203999999,162.6090148,1209.961168,4,2,3,4,3,3,4,3
36,U790894,01fa4db5-6be5-47de-a3ac-53b95e5c44a8,Marlborough,CT,Hartford,6394,Suburban,America/New_York,Market researcher,2.0,26.0,Regular High School Diploma,Full Time,10114.81,Never Married,Female,Yes,44.72520233,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.3129918089999997,258.40816540000003,897.5919144,4,3,5,5,2,4,5,5
37,O739489,1659c53c-7045-445c-a222-08c53851aac1,Lafayette,NJ,Sussex,5059,Urban,America/New_York,"Surveyor, insurance",1.0,25.0,Bachelor's Degree,Full Time,33186.785,Never Married,Female,No,8.15350077,9,2,0,,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,,No,No,Yes,Electronic Check,7.161561527000001,138.7077155,1340.9301560000001,5,6,4,2,5,3,3,3
38,I958127,9d8f0590-1da6-4b6f-ab72-ef78c8aaac24,Washington,DC,District of Columbia,20450,Suburban,America/New_York,Office manager,1.0,66.0,"Some College, Less than 1 Year",Full Time,25397.44,Divorced,Female,No,17.68357553,12,1,0,,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.847563363999999,185.80724809999998,1113.993679,4,4,3,4,2,4,4,5
39,Z666770,e8e28d51-c371-4a39-a81c-0c08d2f1f6ba,Dublin,PA,Bucks,2123,Suburban,America/New_York,Editorial assistant,1.0,72.0,Regular High School Diploma,Full Time,50336.5,Divorced,Male,No,7.790281114,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04202196,147.29118789999998,1530.10769,3,4,3,6,4,4,6,2
40,X711438,3c086e5c-e913-43b6-90d0-30b15b7cd37f,Mantoloking,NJ,Ocean,1164,Urban,America/New_York,Customer service manager,3.0,53.0,Regular High School Diploma,Full Time,38211.37,Divorced,Female,No,38.90533531,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,,Yes,No,Yes,Mailed Check,9.179779682000001,199.93412619999998,3382.4240000000004,5,2,3,3,3,5,4,4
41,U369541,282e3c6b-40f1-4460-8afa-7f2a1e88f06c,Sproul,PA,Blair,23,Suburban,America/New_York,"Production designer, theatre/television/film",3.0,53.0,"Some College, 1 or More Years, No Degree",Retired,52887.26,Married,Male,No,6.522328696000001,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,36.19603,105.9429467,892.8964931,3,3,2,3,5,4,3,3
42,S896111,e677e4d4-13aa-4fde-a48e-e34b94f422cd,Springer,OK,Carter,895,Suburban,America/Chicago,Analytical chemist,4.0,41.0,Master's Degree,Full Time,12003.33,Divorced,Male,Yes,11.1979215,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.924254455,253.7918326,1125.581944,3,3,3,5,1,4,3,4
43,K227200,d542a248-4059-4008-a6fb-b7bc6e897a1c,Homer City,PA,Indiana,6699,Suburban,America/New_York,Print production planner,4.0,53.0,"Some College, Less than 1 Year",Retired,24090.62,Never Married,Male,No,8.561096928,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.55959629,192.76227680000002,2016.7100309999998,3,3,3,3,4,3,3,4
44,E818912,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,New York,NY,New York,35743,Rural,America/New_York,Psychiatrist,0.0,53.0,"Some College, 1 or More Years, No Degree",Full Time,33186.785,Never Married,Female,Yes,13.89466275,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.798394712,243.3707028,1412.736809,4,4,4,4,3,4,3,4
45,Y490834,79eb6124-9f8f-4329-90d1-903bd8bbb43d,Sagola,MI,Dickinson,320,Urban,America/Menominee,"Conservation officer, nature",2.0,44.0,Regular High School Diploma,Full Time,33186.785,Divorced,Female,Yes,10.87564115,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.377366,245.4671211,3382.4240000000004,3,3,2,2,4,3,5,2
46,B609739,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,Peoria,IL,Peoria,7870,Suburban,America/Chicago,Broadcast presenter,1.0,23.0,Associate's Degree,Retired,132116.33,Divorced,Male,Yes,12.60910718,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.25746016,185.07194040000002,2384.885909,4,4,5,2,2,4,3,3
47,E687638,a7cae1b4-3c31-4037-8755-ac692dba6d4c,Acme,WA,Whatcom,861,Suburban,America/Los_Angeles,Applications developer,1.0,43.0,Regular High School Diploma,Full Time,37358.13,Never Married,Female,Yes,9.315148629,11,1,0,,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.427146079,194.57131569999999,1213.940165,4,5,3,4,3,3,4,3
48,E492264,1df1db19-9bfc-407a-a72c-203fada5b5d3,Chattanooga,TN,Hamilton,15364,Rural,America/New_York,"Librarian, public",1.0,86.0,"Some College, 1 or More Years, No Degree",Part Time,26534.16,Separated,Female,No,8.561161123,11,2,2,,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.760290062,105.6553743,740.010722,3,4,3,2,3,3,3,3
49,W255321,7abea12e-f7b4-4e5a-be09-6f9fb061f923,Harvey,ND,Wells,2589,Suburban,America/Chicago,Financial adviser,2.0,84.0,Bachelor's Degree,Full Time,33186.785,Married,Female,No,12.37711977,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.56938439,92.42950948,897.9716152999999,3,3,4,3,5,3,3,4
50,S72442,6711579b-29d7-460e-bc34-10d4d1110a06,Goodwater,AL,Coosa,4901,Urban,America/Chicago,"Surveyor, building",2.0,53.0,"9th Grade to 12th Grade, No Diploma",Retired,33186.785,Separated,Female,Yes,9.523347957,13,3,0,No,Month-to-month,Yes,No,DSL,,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.343811019,185.545865,1026.387172,2,2,3,4,3,5,2,4
51,O845020,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,Lexington,NC,Davidson,39649,Urban,America/New_York,"Horticulturist, amenity",5.0,68.0,Doctorate Degree,Full Time,43820.85,Divorced,Female,Yes,8.546827521,12,1,0,,Month-to-month,Yes,No,None,,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.338869531,188.1878188,1234.244324,2,3,3,5,4,2,3,2
52,D805597,e0ad6b64-9210-4998-aa82-05b6bc33873f,Transylvania,LA,East Carroll,456,Suburban,America/Chicago,Diagnostic radiographer,1.0,59.0,"9th Grade to 12th Grade, No Diploma",Student,38391.55,Never Married,Female,No,2.663660525,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.486534225,148.41540580000003,727.3731845,4,4,4,3,4,2,5,4
53,R189303,ccb06917-57e1-4595-94f7-4a54b1f0ec9d,Jolley,IA,Calhoun,94,Urban,America/Chicago,"Doctor, general practice",0.0,31.0,Regular High School Diploma,Full Time,44137.6,Separated,Female,Yes,8.505759564,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55278221,167.3108222,452.87215039999995,4,4,3,4,4,4,2,3
54,N142854,d207e3a8-6ae6-4567-9b5a-7ae8d8530d0c,Miller,NE,Buffalo,315,Urban,America/Chicago,Insurance risk surveyor,0.0,51.0,"Some College, 1 or More Years, No Degree",Full Time,33186.785,Widowed,Male,Yes,7.93962081,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.07970325,158.9035122,1296.6745429999999,4,2,4,5,4,3,3,4
55,F522569,01051fb5-00df-4a7e-a284-b152a0b5ea47,Welch,WV,McDowell,4969,Suburban,America/New_York,Heritage manager,1.0,58.0,"Some College, 1 or More Years, No Degree",Full Time,62359.91,Separated,Female,No,12.13605498,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.98666226,131.1822001,1840.628269,3,4,3,6,3,4,5,3
56,L384793,79c4473e-fd88-46bc-a276-e21783d598eb,Alvin,TX,Brazoria,46869,Suburban,America/Chicago,Legal executive,1.0,73.0,"9th Grade to 12th Grade, No Diploma",Full Time,82634.86,Married,Male,Yes,9.531952076,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,116.09523300000001,1324.330108,5,4,3,5,3,3,5,4
57,C101444,5ed9b266-29a0-489e-88e0-59f9a0b39e49,Goleta,CA,Santa Barbara,58431,Rural,America/Los_Angeles,Professor Emeritus,1.0,33.0,Bachelor's Degree,Full Time,15690.25,Widowed,Female,No,11.31019855,11,0,1,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.7329489460000005,142.3770231,958.1397059000001,4,5,5,5,4,4,4,5
58,E987442,626e918e-7e34-4b0a-a92c-bd60db4b6173,Racine,WI,Racine,26182,Suburban,America/Chicago,Radio producer,1.0,53.0,Regular High School Diploma,Full Time,14568.7,Separated,Male,Yes,11.23344836,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72071086,221.1610613,3382.4240000000004,3,5,3,2,4,5,5,4
59,L54611,f16fa219-d489-4a93-b261-5dc4dc99e564,Chauncey,GA,Dodge,694,Rural,America/New_York,Barrister's clerk,0.0,49.0,"9th Grade to 12th Grade, No Diploma",Student,33186.785,Never Married,Female,No,9.276154842,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.233605493,125.8287767,676.712908,5,5,3,4,4,5,5,4
60,L85018,97f617e1-f6f2-49c3-b317-542d7bb05d1c,Porum,OK,Muskogee,3093,Suburban,America/Chicago,"Engineer, automotive",1.0,26.0,"Some College, 1 or More Years, No Degree",Unemployed,55319.23,Never Married,Female,No,7.273891516,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,2.8710170369999997,163.8522919,1086.990308,5,5,4,4,3,4,4,4
61,O942919,176d7713-b919-41c3-badf-676dc1abbf07,Delavan,IL,Tazewell,2765,Urban,America/Chicago,Recruitment consultant,1.0,25.0,Bachelor's Degree,Full Time,81831.49,Widowed,Male,No,39.88390274,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.3448753819999997,225.2947474,704.7540406,3,4,3,2,3,4,2,4
62,I167253,d73797a9-ae43-4fe0-8f43-c7db6456eee8,Harveys Lake,PA,Luzerne,3757,Rural,America/New_York,Commercial horticulturist,0.0,42.0,"Some College, 1 or More Years, No Degree",Full Time,100076.65,Separated,Female,Yes,8.599583947000001,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,150.2616031,1416.444695,5,5,5,4,3,2,4,4
